Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
12240,139.1114571,111.6324854,95.14510235,180,5539.822485,0.019888334,131.9486382,465.6787019,0.129941676,0.345287259,4.992049476,5.673136026,2.208189508,3.194204711,49.82152423,0.612388214,0.876969892,0.137690796,0.221426052,0.633862404,50,365.17604,25.3451857,145.1845689,4.058364296,5615.382887,0.361615955,0.282357663,0.138948839,0.112990086,16.12835004,2341.587547,1.521465156,1.521465156
12240,139.1114571,111.6324854,95.14510235,30,5539.822485,0.019888334,131.9486382,465.6787019,0.129941676,0.345287259,4.992049476,5.673136026,2.208189508,3.194204711,49.82152423,0.612388214,0.876969892,0.137690796,0.221426052,0.633862404,50,365.17604,25.3451857,145.1845689,4.058364296,5615.382887,0.361615955,0.282357663,0.138948839,0.112990086,16.12835004,2341.587547,1.521465156,1.521465156
12960,137.4718937,111.0857174,95.25401167,30,5352.320897,0.020571403,128.694526,459.1278244,0.09460196,0.636042314,4.911684332,5.662547959,2.023678805,3.037123715,48.37207344,0.579818837,0.84812827,0.111857089,0.17937446,0.722650762,50,394.8854208,21.35305685,143.7998073,4.106604896,5449.316391,0.372486532,0.290845648,0.138610495,0.108406458,15.88049385,2283.611955,1.559106711,1.559106711
14400,134.1325152,109.5325844,94.77262597,30,5055.769349,0.021625334,120.1732492,435.2241099,0.041184092,0.430449694,4.814363895,5.640554965,1.667773807,2.608582559,46.48616039,0.504535943,0.775451862,0.067611432,0.111137243,1.027211038,50,456.1069385,14.7653471,143.3079776,4.169143386,5178.713514,0.397549121,0.310415067,0.140738577,0.106382733,15.52560469,2224.943009,1.780113615,1.780113615
24480,127.5826061,103.9528098,89.77493205,30,4833.805772,0.02149503,112.0726796,413.7068299,0.01910561,0.204668521,4.55717994,5.563624019,1.505552478,2.288342057,45.81153712,0.464775227,0.702055606,0.044601173,0.070619552,1.261810492,50,541.7773084,11.83031024,144.5089252,4.272810692,5086.498388,0.401129834,0.313210967,0.138218996,0.101155454,15.36459196,2220.32067,1.721068148,1.721068148
34560,125.2615475,101.3985282,87.08071658,30,4849.243236,0.020845239,111.4576958,412.3349651,0.019475171,0.179440443,4.485186217,5.575422959,1.540458372,2.274024292,45.83982241,0.472970057,0.696417611,0.046917808,0.070196382,1.204477553,50,535.2457147,12.28123732,145.1956916,4.275208611,5151.629864,0.392265256,0.30628931,0.133970819,0.097370739,15.42332417,2239.40022,1.601900322,1.601900322
44640,124.1379196,100.0940984,85.66780577,30,4873.732066,0.020433641,111.228497,411.2548923,0.020072092,0.166952584,4.449204831,5.584311976,1.562106158,2.26704508,45.91324426,0.477746016,0.693002073,0.048865286,0.070676973,1.166651292,50,526.6538595,12.80504782,145.5416445,4.272446406,5201.077713,0.387577874,0.302629299,0.132092918,0.095712278,15.47129293,2251.717416,1.562411361,1.562411361
54720,123.360693,99.2074123,84.71544386,30,4887.573798,0.020167521,110.8982191,410.314719,0.020334133,0.160723439,4.414852262,5.581977224,1.575519195,2.258444175,45.96061044,0.480631467,0.689684717,0.049939019,0.070487949,1.146816276,50,522.4785325,13.33283842,145.7457566,4.272268049,5235.32028,0.384718035,0.300396274,0.130758916,0.094500658,15.50242138,2259.412132,1.547121228,1.547121228
12240,139.1114571,111.6324854,95.14510235,180,5539.822485,0.019888334,131.9486382,465.6787019,0.129941676,0.345287259,4.992049476,5.673136026,2.208189508,3.194204711,49.82152423,0.612388214,0.876969892,0.137690796,0.221426052,0.633862404,50,365.17604,25.3451857,145.1845689,4.058364296,5615.382887,0.361615955,0.282357663,0.138948839,0.112990086,16.12835004,2341.587547,1.521465156,1.521465156
12240,139.1114571,111.6324854,95.14510235,180,5539.822485,0.019888334,131.9486382,465.6787019,0.129941676,0.345287259,4.992049476,5.673136026,2.208189508,3.194204711,49.82152423,0.612388214,0.876969892,0.137690796,0.221426052,0.633862404,50,365.17604,25.3451857,145.1845689,4.058364296,5615.382887,0.361615955,0.282357663,0.138948839,0.112990086,16.12835004,2341.587547,1.521465156,1.521465156
