Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
12240,141.2680301,111.6162041,93.82510844,180,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
12240,141.2680301,111.6162041,93.82510844,30,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
12960,140.6060268,112.0483342,94.9137187,30,5756.314955,0.019213848,131.9743335,502.9949286,0.093803682,0.649581626,5.378628266,6.381543018,1.806480807,2.692136789,48.85123911,0.512798378,0.750895233,0.107159802,0.16577656,2.04998035,20.49775352,334.6776958,27.11961189,143.5842074,4.307966845,5713.94251,0.314827691,0.245824361,0.152898109,0.118868356,16.22000173,2328.936092,4,4
14400,139.4691047,112.7134403,96.66004158,30,5416.520972,0.020666221,116.9196463,372.8294555,0.035080509,0.361009329,4.887980069,5.795519392,1.46856611,2.318868278,46.32679706,0.443673791,0.689603155,0.058600496,0.096316772,2.831245781,28.30962656,411.8033512,21.15445654,143.1410428,4.346279924,5457.618644,0.493547203,0.385372473,0.15110398,0.113123217,15.91059781,2277.459562,4,4
24480,136.9685112,110.9600687,95.3550031,30,5279.196213,0.020889263,109.3609115,343.5904428,0.01786782,0.190006267,4.644030147,5.591662497,1.337329579,2.111735737,45.81909265,0.413639725,0.646107974,0.038330959,0.064321749,3.405200026,34.04859506,497.5679527,19.02078691,144.543786,4.424557183,5388.68949,0.535403821,0.418055038,0.155452339,0.113623292,15.82695179,2287.687532,4,4
34560,135.0981369,108.698316,92.85842339,30,5349.033399,0.020136106,109.3586926,341.5348541,0.018683812,0.168780273,4.621339056,5.669602248,1.374155748,2.089772708,46.10093959,0.422665906,0.638473933,0.041035913,0.064125076,3.284967674,32.84639177,487.1605302,20.86866296,145.5549147,4.437577266,5472.268762,0.525966198,0.410685935,0.152375272,0.110803181,15.9212844,2317.421192,4,4
44640,134.2836966,107.6210355,91.62343892,30,5395.007066,0.019733557,109.7562425,342.0918085,0.019720857,0.160671282,4.619794417,5.722384093,1.405555213,2.094645192,46.33393726,0.430928042,0.639423924,0.04333697,0.065185599,3.179066537,31.7874863,480.4685736,22.23581483,146.1915478,4.438489523,5522.108356,0.518086161,0.40453303,0.150763336,0.109499444,15.97810612,2335.864066,4,4
54720,133.9242384,107.0652113,90.94979503,30,5432.799537,0.019481217,109.9449438,342.7353627,0.020362704,0.155670907,4.619965428,5.74968203,1.422380492,2.097509704,46.48349594,0.435237651,0.639842084,0.044698651,0.065889603,3.118936451,31.18624557,476.3495652,22.95605745,146.5915668,4.43911616,5546.560413,0.513048473,0.400599493,0.150191534,0.109040696,16.00388108,2346.034002,4,4
12240,141.2680301,111.6162041,93.82510844,180,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
12240,141.2680301,111.6162041,93.82510844,180,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
12960,141.3603835,111.731646,93.95440346,180,5957.252183,0.018432512,137.0558665,562.8645088,0.131497073,0.371172662,5.523750576,6.569601628,1.991600531,2.873248424,50.23422657,0.542704098,0.770585131,0.134637874,0.202965556,1.84914482,18.48959906,303.2654205,31.87560398,144.9824833,4.265014912,5883.427067,0.265704384,0.207467806,0.147224499,0.115760147,16.46164459,2386.650112,4,4
14400,141.689531,112.0670165,94.29350784,180,5958.075184,0.01849651,137.0558665,562.0716909,0.131251265,0.366969621,5.530901203,6.559333933,1.986666133,2.881148261,50.21781056,0.541968157,0.772042639,0.134034923,0.204121609,1.853019665,18.52834363,303.5642216,31.59810718,145.0090127,4.265561323,5869.126276,0.267043917,0.208513743,0.14788263,0.116481302,16.44722381,2384.995686,4,4
24480,142.3505734,112.9234317,95.2671467,180,5933.770001,0.018752904,136.9932358,556.2161941,0.12960394,0.332104053,5.554340263,6.526537836,1.976106027,2.897220091,50.18910563,0.541326907,0.776247587,0.132013975,0.204967098,1.872252577,18.72065352,306.0129845,31.04214941,145.1510491,4.263797888,5810.151021,0.273457349,0.213521491,0.150082596,0.118335051,16.38592973,2378.434891,4,4
34560,142.6428263,113.3154983,95.71910155,180,5921.568139,0.018874476,137.0645534,552.2547278,0.12866418,0.308483828,5.569502244,6.516277111,1.969186377,2.903373828,50.16164622,0.540519471,0.777839981,0.131003767,0.205464583,1.88439896,18.8421052,306.8592166,30.67698261,145.1536214,4.259408309,5780.787024,0.277254019,0.216486015,0.151245817,0.119352919,16.35989178,2374.697539,4,4
44640,142.5869136,113.3456766,95.80093439,180,5906.400221,0.018933935,137.1431431,548.7260984,0.127910388,0.289847192,5.570215946,6.521976259,1.965046009,2.902248459,50.1180474,0.539959495,0.778195175,0.130263486,0.205008784,1.89501722,18.94827718,307.3860648,30.60283909,145.0851316,4.254321555,5767.03856,0.27998879,0.218621384,0.15150668,0.119651485,16.35020287,2372.171334,4,4
54720,142.4436931,113.2823559,95.78555361,180,5889.792199,0.018981169,137.3099559,545.8177672,0.127548046,0.276918976,5.574716039,6.530503785,1.964915674,2.8995882,50.08605312,0.540181067,0.778200689,0.13010643,0.204405878,1.904235502,19.04045079,307.7732158,30.62141116,144.9909897,4.249879752,5757.434326,0.282166762,0.220321992,0.151567473,0.119672025,16.34309321,2369.601259,4,4
12240,141.2680301,111.6162041,93.82510844,180,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
12240,141.2680301,111.6162041,93.82510844,500,5959.400115,0.018402033,137.1039609,563.7659535,0.131924818,0.375711311,5.520733118,6.576475901,1.993527469,2.872507745,50.24125544,0.542812189,0.770191954,0.135001425,0.203152879,1.845800469,18.45615889,302.8352605,31.96744007,144.9686937,4.264786724,5890.755884,0.264730436,0.206707327,0.14695635,0.115577726,16.46967146,2387.586757,4,4
