Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
12240,108.4265453,82.69013381,67.24828693,180,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618755,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12240,108.4265453,82.69013381,67.24828693,30,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618756,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12960,106.7331471,82.13346491,67.37365558,30,5055.988872,0.016222022,107.9013743,1098.287957,0.100936666,0.818593573,3.437982934,4.897815079,2.002068343,2.588150743,46.54985327,0.485370648,0.651067164,0.152072032,0.18343416,1.253520932,2.9,242.4883275,10.97335744,142.480379,4.550207293,5219.126806,0.094681676,0.073929528,0.061029266,0.043225316,15.16371461,2160.531805,1.78674295,1.78674295
14400,102.5691227,80.08857791,66.60025106,30,4719.221269,0.017099924,104.8869734,1023.907798,0.053259908,0.23399571,3.624020236,5.029082161,1.72052394,2.257228159,44.78628084,0.44686557,0.60534888,0.101255233,0.121841504,1.990514169,2.9,275.3537527,6.454475695,141.186973,4.565754769,4938.238621,0.103967543,0.081180136,0.059994824,0.042879772,14.80687712,2090.538161,2.174502211,2.174502211
24480,88.99459831,69.28940264,57.46628524,30,4130.49133,0.017074921,95.70349299,942.7350872,0.018256239,0.17867576,3.478227905,4.780023442,1.537873308,1.916992475,42.0791611,0.403703932,0.511937664,0.058062161,0.06281515,3.803894714,2.9,352.4190941,2.891270879,142.2539029,4.63141477,4639.409569,0.110234592,0.086073585,0.04283664,0.031085614,14.24020086,2025.72415,2.150634514,2.150634514
34560,84.52973859,64.45492963,52.41004425,30,4110.555258,0.015894636,92.88206288,970.3136761,0.018379173,0.22076916,3.286121923,4.55951705,1.61718309,1.970426035,41.07102653,0.408704998,0.505009108,0.059989716,0.061609252,4.136052701,2.9,349.6266234,3.092536574,143.4872695,4.635121833,4735.366885,0.102588462,0.08010332,0.033711596,0.024651871,14.24013611,2043.278247,1.711624547,1.711624547
44640,83.3894786,62.82398165,50.48468348,30,4174.510076,0.015166987,92.02837467,988.1449613,0.019281608,0.198355694,3.199264372,4.446839192,1.655381832,1.994183878,40.73100228,0.412544152,0.502059787,0.063045837,0.062660338,4.311110355,2.9,342.4202412,3.53762048,143.2878979,4.637178558,4848.923597,0.098859286,0.077191497,0.030272088,0.022184846,14.31749851,2051.524265,1.565746604,1.565746604
54720,83.32076141,62.44400801,49.91795597,30,4225.377963,0.014839947,91.65904059,999.5379805,0.019636722,0.185858628,3.159076852,4.408197139,1.663166934,2.000143845,40.51696063,0.411137082,0.500578756,0.063777152,0.063418199,4.451837992,2.9,338.0558454,3.784424921,143.0654208,4.642913577,4918.169397,0.097258176,0.075941315,0.029054821,0.021228121,14.36474656,2055.098512,1.534781108,1.534781108
12240,108.4265453,82.69013381,67.24828693,180,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618755,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12240,108.4265453,82.69013381,67.24828693,180,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618756,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12960,108.2791804,82.52247901,67.06845817,180,5236.021211,0.015649915,107.106805,1115.938489,0.127982937,0.416183999,3.267741921,4.72054847,2.142315872,2.712472647,48.03634683,0.501222292,0.663937837,0.182608586,0.214996299,1.02963181,2.9,220.895928,14.17419912,144.0157497,4.498684989,5386.249667,0.090548512,0.070702263,0.06217663,0.044443919,15.41366773,2219.810914,1.604204666,1.604204666
14400,108.2086394,82.40006398,66.91491869,180,5240.931481,0.015606717,107.0021515,1117.20466,0.128466101,0.41551683,3.25320675,4.711326365,2.142692201,2.713185518,48.02066314,0.500917878,0.663845812,0.182906839,0.215717928,1.026095954,2.9,220.3094284,14.23496796,143.9346864,4.497729793,5393.86992,0.090344012,0.070542584,0.061943678,0.044221543,15.41813328,2219.204179,1.594349499,1.594349499
24480,107.2163218,81.34342008,65.81967905,180,5238.536811,0.015385033,105.9247693,1122.166829,0.127329782,0.392253495,3.175812866,4.648350917,2.139569144,2.691424457,47.75511654,0.498434438,0.65973404,0.181576524,0.212600186,1.023377499,2.9,218.8637697,14.58465146,143.5802622,4.494255571,5428.815502,0.089439311,0.069836174,0.059750407,0.042629121,15.42600146,2214.869334,1.548407287,1.548407287
34560,106.48076,80.54632305,64.98566086,180,5243.064013,0.01519567,104.9910874,1126.40769,0.126340869,0.374684375,3.11883719,4.593790248,2.143101363,2.670163549,47.58546158,0.497264347,0.655613185,0.180880288,0.208382978,1.028034868,2.9,217.9738869,15.14292072,143.4221379,4.491520083,5460.6907,0.088805887,0.069341583,0.058022375,0.041284294,15.43526229,2213.758318,1.529702712,1.529702712
44640,106.2975057,80.27230634,64.6571867,180,5259.054517,0.015087121,104.3839898,1130.337395,0.125497624,0.368877166,3.094104105,4.558820448,2.141696146,2.653608923,47.51293966,0.496041184,0.652143491,0.18048381,0.205471599,1.035335284,2.9,217.0119338,15.39266652,143.3813121,4.490351413,5477.311348,0.088519628,0.069118066,0.057209738,0.040555546,15.43286941,2212.785066,1.52643514,1.52643514
54720,105.9414069,79.87471943,64.23470695,180,5265.637222,0.014980781,103.8334967,1133.951701,0.124961422,0.364135457,3.062797484,4.530268824,2.14478066,2.642608934,47.4054462,0.49533511,0.649567252,0.179971014,0.202813824,1.045119498,2.9,216.552207,15.82990498,143.3876396,4.488908868,5494.163974,0.088236393,0.06889691,0.056024707,0.039768726,15.43178673,2212.727474,1.523411457,1.523411457
12240,108.4265453,82.69013381,67.24828693,180,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618755,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12240,108.4265453,82.69013381,67.24828693,500,5236.99529,0.015683002,107.3433924,1114.897169,0.127994584,0.421825374,3.284102235,4.736618756,2.141168167,2.71519386,48.07335479,0.501419387,0.664591411,0.182546641,0.215448531,1.033290329,2.9,221.2663362,14.0850225,144.0520848,4.499613032,5380.534126,0.090732452,0.070845887,0.062536832,0.044683266,15.41010782,2219.858159,1.615644917,1.615644917
12960,111.6087634,83.91377754,67.29678601,500,5554.44317,0.014850086,106.0248703,1128.69367,0.186337703,0.182586671,3.071156923,4.510017492,2.380440098,2.90446109,51.80202133,0.521891394,0.676323309,0.239360832,0.269349046,0.773596374,2.9,190.2539527,20.98799901,147.9704406,4.409284818,5677.356686,0.085624816,0.066857733,0.065636287,0.048041563,15.85572769,2346.179012,1.487961325,1.487961325
