Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
24480,135.9719575,107.9404934,91.12161494,180,5639.586449,0.018851453,32.25404896,341.7124397,0.124909793,0.178335551,0.882814328,1.015966186,0.72339113,0.98156965,61.75018181,0.155728127,0.2111876,0.11034619,0.149643789,0.096484991,2.5,130.0012078,26.3513851,143.4894493,4.321218247,5767.460793,0.338133475,0.264022029,0.312436344,0.246448393,16.2451164,2331.002805,1.495289477,1.495289477
24480,135.9719575,107.9404934,91.12161494,30,5639.586449,0.018851453,32.25404896,341.7124397,0.124909793,0.178335551,0.882814328,1.015966186,0.72339113,0.98156965,61.75018181,0.155728127,0.2111876,0.11034619,0.149643789,0.096484991,2.5,130.0012078,26.3513851,143.4894493,4.321218247,5767.460793,0.338133475,0.264022029,0.312436344,0.246448393,16.2451164,2331.002805,1.495289477,1.495289477
25200,134.3171001,107.4033858,91.25515725,30,5449.638075,0.019500782,31.44179968,333.5359164,0.110609132,0.541116178,0.890147204,1.015651369,0.675777064,0.928340188,60.10697663,0.143720332,0.196970903,0.101890899,0.139643028,0.099566104,2.5,139.1119098,22.25475841,141.9291237,4.363793521,5598.239972,0.347800088,0.271569932,0.317988264,0.252549439,15.98964538,2269.396357,1.532627545,1.532627545
26640,129.1015294,105.218087,90.88802156,30,4955.657911,0.021260089,29.02352575,301.2705589,0.058848195,0.541029965,0.963572169,1.075165037,0.539301339,0.767412797,54.345129,0.124259882,0.168356166,0.06569615,0.09615681,0.135701298,2.5,173.7591063,11.97477702,141.2889473,4.45805986,5149.344508,0.389403328,0.304054653,0.341523225,0.272911318,15.39526873,2175.181313,1.946335846,1.946335846
36720,115.542323,94.49289049,81.86323099,30,4386.242046,0.021741949,25.70664268,266.4253835,0.017018138,0.08163603,0.893488729,1.135261634,0.429371839,0.623699609,46.38296921,0.109175108,0.158325172,0.026649691,0.038529517,0.371807574,3.717703928,252.0832145,5.807547854,142.4014658,4.498549171,4808.96958,0.420780718,0.328554807,0.338902831,0.251576574,14.88477997,2119.614487,2.065169876,2.065169876
46800,110.9392109,89.56359084,76.73821879,30,4372.323121,0.020602389,25.5997213,273.6898177,0.019858988,0.088266687,0.863955436,1.127977308,0.452235108,0.628041066,46.83986735,0.111969091,0.157173693,0.030843086,0.041525661,0.315748317,3.157167421,234.6278958,6.041534917,143.215691,4.517397686,4899.34058,0.396713458,0.309762563,0.299613522,0.220986485,14.92799874,2137.923655,1.704339054,1.704339054
56880,108.5300462,87.15252774,74.3260167,30,4346.947007,0.020120053,25.51557416,275.1717685,0.02024288,0.074765569,0.852433994,1.123418299,0.45808997,0.623079766,46.85345268,0.112781358,0.155921829,0.031996956,0.041310347,0.301958009,3.019278136,231.1385864,6.006087583,143.1392279,4.522591916,4943.506576,0.389355206,0.304017079,0.282029455,0.207539939,14.93898329,2138.354534,1.59469332,1.59469332
66960,106.9098837,85.42186038,72.52904641,30,4355.169362,0.019642862,25.27154951,275.1478644,0.019337998,0.064889234,0.840550706,1.113860528,0.458967906,0.614401711,46.55728925,0.112468308,0.153595354,0.03158856,0.039227495,0.303418487,3.033881448,232.1226866,6.075829202,143.0324308,4.520847244,4988.852049,0.384622447,0.300321637,0.270350937,0.199595791,14.9579506,2139.472034,1.551937998,1.551937998
24480,135.9719575,107.9404934,91.12161494,180,5639.586449,0.018851453,32.25404896,341.7124397,0.124909793,0.178335551,0.882814328,1.015966186,0.72339113,0.98156965,61.75018181,0.155728127,0.2111876,0.11034619,0.149643789,0.096484991,2.5,130.0012078,26.3513851,143.4894493,4.321218247,5767.460793,0.338133475,0.264022029,0.312436344,0.246448393,16.2451164,2331.002805,1.495289477,1.495289477
24480,135.9719575,107.9404934,91.12161494,180,5639.586449,0.018851453,32.25404896,341.7124397,0.124909793,0.178335551,0.882814328,1.015966186,0.72339113,0.98156965,61.75018181,0.155728127,0.2111876,0.11034619,0.149643789,0.096484991,2.5,130.0012078,26.3513851,143.4894493,4.321218247,5767.460793,0.338133475,0.264022029,0.312436344,0.246448393,16.2451164,2331.002805,1.495289477,1.495289477
