Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
0,120.1492873,92.27763244,75.55463951,180,5630.590959,0.01614767,116.6125417,1047.718766,0.129923361,0.468211342,3.733269911,5.215258876,2.274594594,2.920744506,47.47852983,0.562844757,0.745420583,0.165510055,0.20242654,0.967945421,9.67848626,288.8572378,22.61375099,145.1178313,4.303573538,5659.846737,0.101541662,0.079285955,0.080469638,0.058772995,15.92651604,2311.221469,1.521606639,1.521606639
0,120.1492873,92.27763244,75.55463951,30,5630.590959,0.01614767,116.6125417,1047.718766,0.129923361,0.468211342,3.733269911,5.215258876,2.274594594,2.920744506,47.47852983,0.562844757,0.745420583,0.165510055,0.20242654,0.967945421,9.67848626,288.8572378,22.61375099,145.1178313,4.303573538,5659.846737,0.101541662,0.079285955,0.080469638,0.058772995,15.92651604,2311.221469,1.521606639,1.521606639
720,118.7807232,92.0656346,76.03658143,30,5422.242155,0.016813769,117.1307873,988.0843107,0.092865736,0.690024232,3.992933663,5.490464797,2.056457245,2.685753546,46.50086645,0.540414458,0.725247751,0.130828215,0.16115337,1.086919115,10.86810423,324.3674342,18.72892098,143.663807,4.346361912,5494.118158,0.111803826,0.087298878,0.082323269,0.05983669,15.68489831,2253.352203,1.572945912,1.572945912
2160,117.2963043,92.57608454,77.7439527,30,5067.287537,0.018241341,117.6410186,817.0838677,0.040381798,0.549735317,4.494711592,5.981723622,1.699952768,2.317599982,45.6875941,0.492097828,0.682151808,0.080500894,0.103222525,1.391143019,13.91003905,386.3674021,12.43361307,143.2280433,4.352059181,5213.313468,0.14636838,0.114287639,0.09279048,0.067539283,15.34383986,2197.668161,1.79995652,1.79995652
12240,112.0713419,88.52847865,74.40276071,30,4825.133624,0.018359632,111.6633044,706.6256033,0.01927976,0.28038087,4.434212753,5.946490587,1.51606737,2.054839905,45.17496195,0.455352835,0.625950139,0.052945795,0.067575714,1.583621225,15.83462863,455.2377106,9.377996841,144.6366863,4.423256993,5094.087497,0.171094653,0.133594455,0.094321582,0.067915159,15.14314776,2190.254713,1.741612807,1.741612807
22320,109.3119537,85.50065613,71.21387759,30,4843.635002,0.017601432,108.6866823,735.9865249,0.019762158,0.240546085,4.228645905,5.777505946,1.54590063,2.042336485,45.04138478,0.458897694,0.616540708,0.055374665,0.067193908,1.505729419,15.05578846,445.8673101,10.03666461,145.3096633,4.430774428,5174.950318,0.157044863,0.122624071,0.087865931,0.062612784,15.19222935,2207.577732,1.5907318,1.5907318
32400,108.4307692,84.34254195,69.88960562,30,4881.39466,0.017186474,107.3997746,749.971776,0.020323528,0.220861445,4.127930766,5.701775384,1.56021136,2.042007415,44.95867616,0.459768718,0.613578695,0.056786292,0.067850697,1.475626014,14.75478451,438.3623214,10.57053807,145.5628439,4.431715609,5234.704749,0.15139275,0.118210777,0.084670986,0.06041856,15.23734526,2217.991309,1.543795275,1.543795275
42480,108.0285136,83.77153609,69.21734959,30,4908.969222,0.016949009,106.6178756,754.4017709,0.020511555,0.212533535,4.086925591,5.648686516,1.568507645,2.031789791,44.93887445,0.460454606,0.608978966,0.057659389,0.067544302,1.468306587,14.68159756,434.4164579,10.95732768,145.698297,4.432592497,5270.379902,0.149490815,0.116725705,0.083224974,0.059157393,15.25993547,2223.346611,1.532371687,1.532371687
52560,107.6746319,83.31705045,68.7025016,30,4925.302274,0.016783545,106.0020457,755.2245102,0.020533305,0.207923708,4.048718387,5.615859197,1.572382066,2.023806216,44.88354147,0.460105794,0.605766628,0.057859239,0.06711961,1.469765223,14.69618246,432.6841151,11.35793007,145.7857036,4.433263424,5294.628035,0.148938252,0.116294252,0.081745872,0.058258535,15.27036986,2226.201615,1.527242119,1.527242119
0,120.1492873,92.27763244,75.55463951,180,5630.590959,0.01614767,116.6125417,1047.718766,0.129923361,0.468211342,3.733269911,5.215258876,2.274594594,2.920744506,47.47852983,0.562844757,0.745420583,0.165510055,0.20242654,0.967945421,9.67848626,288.8572378,22.61375099,145.1178313,4.303573538,5659.846737,0.101541662,0.079285955,0.080469638,0.058772995,15.92651604,2311.221469,1.521606639,1.521606639
