Minutes,SBP,MAP,DBP,Salt,CO,TPR,GFR,RBF,Urine Na,Urine Volume,Left PT Reabsorption,Right PT Reabsorption,Left Loop Reabsorption,Right  Loop Reabsorption,MD Na,Left DT Reabsorption,Right DT Reabsorption,Left CD Reabsorption,Right CD Reabsorption,Renin,Ang II,Aldosterone,ANP,[Na+],[K+],Blood Volume,Left Efferent Arteriolar Resistance,Right Efferent Arteriolar Resistance,Left Afferent Arteriolar Resistance,Right Afferent Arteriolar Resistance,ECFV,Na Mass,Right Renal Ganglia,Left Renal Ganglia
22320,131.8045293,101.2273809,82.88109181,180,6160.307968,0.01613208,106.1364618,1039.340479,0.127888517,0.517436188,3.127296198,4.834094931,2.2667851,2.677037697,47.1794401,0.54038482,0.68402902,0.160482531,0.165135375,0.958240111,9.581442873,270.093016,32.4952718,145.7505987,4.371585958,5927.351832,0.097165112,0.075868649,0.068599651,0.047719094,16.34756603,2382.667536,1.50449723,1.50449723
22320,131.8045293,101.2273809,82.88109181,30,6160.307968,0.01613208,106.1364618,1039.340479,0.127888517,0.517436188,3.127296198,4.834094931,2.2667851,2.677037697,47.1794401,0.54038482,0.68402902,0.160482531,0.165135375,0.958240111,9.581442873,270.093016,32.4952718,145.7505987,4.371585958,5927.351832,0.097165112,0.075868649,0.068599651,0.047719094,16.34756603,2382.667536,1.50449723,1.50449723
23040,130.6991888,101.2298451,83.5482389,30,5961.865405,0.01674812,106.724623,992.6172062,0.095326768,0.82369795,3.350342853,5.051342444,2.079156065,2.49999987,46.28435471,0.523579853,0.667119795,0.132701317,0.138920141,1.062540478,10.62434224,299.4479037,27.72961258,144.3681883,4.411470187,5755.16757,0.105593604,0.0824498,0.070340111,0.048927343,16.10214667,2324.637742,1.533876153,1.533876153
24480,128.5198883,101.1268051,84.69095521,30,5597.113338,0.017965334,108.8720121,848.7033257,0.045869573,0.489630302,3.885751021,5.536289808,1.764191176,2.211079901,45.57067879,0.489810856,0.635128389,0.089761735,0.09846781,1.327790815,13.27658036,350.6702623,19.45949024,143.7105114,4.409771227,5464.855343,0.133284836,0.104071721,0.079602966,0.055736238,15.73703776,2261.577744,1.728665743,1.728665743
34560,122.3265553,96.95017855,81.72435253,30,5213.842198,0.018571261,105.4857158,690.2034409,0.018744836,0.262117714,4.097507722,5.664922766,1.523320856,1.937857168,45.01091903,0.448898485,0.583635471,0.053969962,0.061186329,1.615891814,16.15730225,435.5659261,13.38677265,145.2778936,4.47574044,5246.286838,0.171548528,0.133948851,0.08604023,0.060859578,15.4219982,2240.475414,1.785115741,1.785115741
44640,118.927795,93.35469432,78.01083388,30,5205.429049,0.017847446,103.0725471,709.347303,0.019105584,0.237496923,3.921213076,5.524350253,1.57155231,1.934183863,44.63322113,0.454067123,0.575217151,0.056032135,0.060112763,1.561672775,15.61516608,433.027841,14.32526281,146.1032021,4.482408091,5324.116855,0.159883349,0.124840424,0.077430031,0.054706509,15.47606582,2261.102772,1.605926343,1.605926343
54720,117.7078676,91.88854898,76.39695779,30,5234.209516,0.017421605,102.2318448,720.8066946,0.020021618,0.219794198,3.841772382,5.457715044,1.605305991,1.94156743,44.54267181,0.458986686,0.572906975,0.058543663,0.060781495,1.534283097,15.34129669,426.2756701,15.29030513,146.4027056,4.479213387,5389.585375,0.154164645,0.120375133,0.073835989,0.051940372,15.53493226,2274.356114,1.550113158,1.550113158
64800,116.8269431,90.92023858,75.3762159,30,5243.188326,0.017175447,101.5752201,723.1904801,0.020285202,0.209987847,3.78644125,5.416016838,1.621804066,1.939942206,44.42016719,0.460506915,0.569729469,0.059253298,0.060373284,1.531023877,15.30870775,424.3600825,16.14666285,146.5310556,4.477750634,5430.480787,0.152482176,0.119061425,0.07135865,0.050126421,15.56733519,2281.098058,1.532605276,1.532605276
22320,131.8045293,101.2273809,82.88109181,180,6160.307968,0.01613208,106.1364618,1039.340479,0.127888517,0.517436188,3.127296198,4.834094931,2.2667851,2.677037697,47.1794401,0.54038482,0.68402902,0.160482531,0.165135375,0.958240111,9.581442873,270.093016,32.4952718,145.7505987,4.371585958,5927.351832,0.097165112,0.075868649,0.068599651,0.047719094,16.34756603,2382.667536,1.50449723,1.50449723
23040,131.8494507,101.2649961,82.91432338,180,6162.890301,0.016133006,106.1364618,1039.251266,0.127819607,0.518195628,3.128753617,4.835299536,2.266347502,2.677027715,47.18217668,0.540377063,0.684085042,0.160377424,0.165081181,0.958599608,9.585037479,270.1808412,32.50221096,145.77605,4.371907744,5925.151308,0.097219515,0.075911128,0.068643919,0.047762862,16.34451157,2382.638336,1.505604967,1.505604967
24480,131.9302678,101.2956314,82.9148495,180,6175.622191,0.016107593,106.1364618,1038.614201,0.127636269,0.519502678,3.131588002,4.838478309,2.265474962,2.676354934,47.18818299,0.540368061,0.684099907,0.160159742,0.164882642,0.959252553,9.591566273,270.3802234,32.51711335,145.8248631,4.372444925,5921.11964,0.097321641,0.075990871,0.068731072,0.047844319,16.33858819,2382.572386,1.507998649,1.507998649
34560,132.3461181,101.7661104,83.41810582,180,6171.165995,0.016210206,106.1157953,1038.769039,0.126960781,0.52801054,3.147410501,4.846223525,2.260058724,2.676593391,47.2132975,0.539845847,0.684346789,0.159276693,0.164653261,0.962912106,9.628158144,270.7881716,32.44611182,146.0737848,4.37461722,5898.891329,0.097844395,0.076399048,0.069241542,0.048305732,16.30779729,2382.141672,1.516003132,1.516003132
44640,132.6119707,101.993138,83.62183834,180,6182.37333,0.0162246,105.8891197,1039.61465,0.125994301,0.53332288,3.148090245,4.841743748,2.253786931,2.670588761,47.18670756,0.53850906,0.683075173,0.158034905,0.163585074,0.966385459,9.662888207,270.7924778,32.55372275,146.1958152,4.374711533,5890.588186,0.098144285,0.076633209,0.069371381,0.048312244,16.29418461,2382.141602,1.51995502,1.51995502
54720,132.7579209,102.1279511,83.74996919,180,6185.701163,0.016242567,105.9907186,1039.670382,0.126238762,0.53825437,3.160685673,4.845957433,2.255424622,2.669359552,47.23045074,0.539079568,0.682766604,0.158645931,0.163458289,0.969056044,9.689591381,270.6637821,32.56161646,146.2482353,4.374135234,5883.982727,0.098360123,0.07680174,0.06944187,0.048406962,16.28315701,2381.382977,1.521590733,1.521590733
64800,132.8019326,102.1713297,83.79296791,180,6186.652455,0.0162497,105.8677622,1039.590226,0.125513674,0.540306742,3.15504536,4.849034358,2.248520146,2.667924469,47.17144533,0.537429554,0.682408697,0.157321445,0.163294869,0.970648633,9.705515683,270.4669524,32.57773885,146.2729447,4.373058857,5880.123104,0.098481319,0.076896373,0.069399838,0.0484462,16.27548541,2380.663178,1.522594409,1.522594409
22320,131.8045293,101.2273809,82.88109181,180,6160.307968,0.01613208,106.1364618,1039.340479,0.127888517,0.517436188,3.127296198,4.834094931,2.2667851,2.677037697,47.1794401,0.54038482,0.68402902,0.160482531,0.165135375,0.958240111,9.581442873,270.093016,32.4952718,145.7505987,4.371585958,5927.351832,0.097165112,0.075868649,0.068599651,0.047719094,16.34756603,2382.667536,1.50449723,1.50449723
22320,131.8045293,101.2273809,82.88109181,500,6160.307968,0.01613208,106.1364618,1039.340479,0.127888517,0.517436188,3.127296198,4.834094931,2.2667851,2.677037697,47.1794401,0.54038482,0.68402902,0.160482531,0.165135375,0.958240111,9.581442873,270.093016,32.4952718,145.7505987,4.371585958,5927.351832,0.097165112,0.075868649,0.068599651,0.047719094,16.34756603,2382.667536,1.50449723,1.50449723
23040,133.6896109,101.4282887,82.07149538,500,6463.277648,0.015275627,102.3886787,1098.525409,0.22323825,0.271577693,2.505248136,4.22265438,2.58217063,3.117137861,51.34456101,0.569242339,0.712944897,0.2321767,0.239362646,0.749661317,7.495863507,219.2146694,41.87828071,149.4668302,4.298482407,6212.335112,0.08551779,0.066774165,0.070201263,0.04743937,16.75960442,2505.004947,1.463382662,1.463382662
24480,133.7655664,100.8012055,81.02258891,500,6581.751398,0.014805654,101.3434106,1147.540299,0.373008524,0.783081574,2.187020343,3.965547284,2.644910629,3.172164393,57.07183125,0.57217254,0.691686605,0.296643543,0.305991031,0.542962904,5.429086078,189.9752133,54.6274941,149.0036279,4.342141848,6406.433163,0.079360081,0.06196609,0.066613725,0.044677989,16.97524249,2529.372715,1.43574577,1.43574577
34560,138.8353229,106.3484236,86.85628402,500,6511.64219,0.015986066,101.5919593,1184.681599,0.360565969,1.953725321,2.36412125,3.941627226,2.573936687,3.15673554,56.95440275,0.545279314,0.68344469,0.3,0.326946044,0.435892431,4.358488415,180.6211112,45.01132939,148.0460631,4.376387124,6157.438264,0.08078595,0.06307944,0.070308344,0.048507055,16.69250149,2471.259128,1.471208498,1.471208498
44640,140.1208986,108.2647059,89.15099034,500,6425.861996,0.016559473,102.643928,1197.499968,0.3496684,1.870821962,2.466912583,3.978221048,2.527979636,3.129560203,56.51122503,0.537137591,0.677591555,0.3,0.333508456,0.39499921,3.949597101,175.2714977,41.28958048,146.7366191,4.382580735,6036.289514,0.082055441,0.064070687,0.070631132,0.04913061,16.55463615,2429.17134,1.512308735,1.512308735
54720,140.5191134,108.9779095,90.05318714,500,6368.951899,0.016842059,103.0838532,1199.795064,0.345796982,1.835628192,2.518884105,4.003839292,2.508619455,3.120756374,56.42127864,0.533425459,0.675394536,0.3,0.338667953,0.376616729,3.765790671,172.4771142,39.39455409,146.508085,4.377599854,5984.499018,0.082594572,0.064491652,0.070856883,0.049698564,16.49938742,2417.293655,1.524703419,1.524703419
